Value,Reference,Footprint,LCSC Part Number
0.1uF,"C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C133,C136,C137,C140,C142,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C214,C216,C400,C401,C402,C403,C404,C405,C406,C407,C408,C409,C410,C411,C412,C413,C414,C415,C416,C417,C418,C422,C423,C425",603,C14663
47uF,"C113,C114,C115,C116,C117,C135,C138",Radial_D5.0mm_P2.00mm,C88724
10uF,"C132,C134",603,C96446
2x2 Pin Header,"J100,J101",2x02_P2.54mm_Vertical,C66690
10k,"R100,R101,R102,R103,R106,R107,R400,R401",603,C25804
2k7,"R105,R110",603,C13167
100R,"R108,R109",603,C22775
22R,"R111,R112,R113,R114,R115,R116,R117,R118,R119,R120",603,C23345
74LVC245,"U101,U102,U103,U104,U105,U106,U107,U108,U203",TSSOP-20,C7848
SN74LVC16T245DLR,"U109,U110",BSSOP-48,C2682002
ICE40HX4K-TQ144,U111,LQFP-144,C1521989
74LVC1G125,"U113,U115",SOT-353,C151022
ICE40HX1K-VQ100,U400,LQFP-100,C1519043
W25X20CLSN,"U400F1,U409F2",SOIC-8,C34591
SDRAM(16Mx32),"U401,U402",TSOP-II-86,C17489827
40MHz,X100,4Pin_2.5x2.0mm,C2451133
1x6 Pin Header,"CN111,CN400",6x01_P2.54mm_Vertical,C37208
